region,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2013,211.19857199999998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2013,5.4720936,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2013,1.04151096,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2013,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2013,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2013,3.096,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2014,21.0818664,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2014,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2014,207.26233200000001,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2014,6.0811307999999995,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2014,2.005056,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2014,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2014,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2014,3.8561003999999994,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2015,13.1710356,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2015,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2015,233.996436,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2015,6.3650736,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2015,0.46915451999999996,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2015,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2015,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2015,3.1248,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2016,16.151090399999998,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2016,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2016,222.624,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2016,6.73938,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2016,0.67665276,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2016,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2016,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2016,4.4028,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2017,6.689026800000001,PJ,2023
BRITISH COLUMBIA,COAL & COKE,CURRENT MEASURES,2017,0,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2017,239.410872,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2017,13.5410904,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2017,1.2083241599999999,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2017,0,PJ,2023
BRITISH COLUMBIA,NUCLEAR,CURRENT MEASURES,2017,0,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2017,5.8716,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2018,11.950398,PJ,2023
