region,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2046,8.9720925948,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2046,226.80830106,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2046,28.4238112464,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2046,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2046,42.2484215796,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2046,91.072213128,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2047,9.443120698908,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2047,226.25902713600001,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2047,29.0590711704,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2047,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2047,43.1975916468,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2047,96.827424768,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2048,9.6207139152,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2048,225.797629536,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2048,30.3007286052,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2048,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2048,44.144736674399994,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2048,102.58335756,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2049,9.7117563276,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2049,225.27113896799997,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2049,31.660982639999997,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2049,0,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2049,45.093495765600004,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2049,108.334667124,PJ,2023
BRITISH COLUMBIA,BIOMASS / GEOTHERMAL,CURRENT MEASURES,2050,9.975098810952,PJ,2023
BRITISH COLUMBIA,HYDRO / WAVE / TIDAL,CURRENT MEASURES,2050,224.80610324399998,PJ,2023
BRITISH COLUMBIA,NATURAL GAS,CURRENT MEASURES,2050,34.4074898736,PJ,2023
BRITISH COLUMBIA,OIL,CURRENT MEASURES,2050,0.002130618168,PJ,2023
BRITISH COLUMBIA,SOLAR,CURRENT MEASURES,2050,45.5765246928,PJ,2023
BRITISH COLUMBIA,WIND,CURRENT MEASURES,2050,114.086068452,PJ,2023
