dt,AverageTemperature,AverageTemperatureUncertainty
1907-05-01,6.182,0.409
1907-06-01,9.553,0.392
1907-07-01,12.391,0.454
1907-08-01,9.93,0.464
1907-09-01,6.859,0.319
1907-10-01,2.415,0.415
1907-11-01,-4.327,0.38
1907-12-01,-9.62,0.489
1908-01-01,-10.761,0.767
1908-02-01,-9.66,0.66
1908-03-01,-7.139,0.631
1908-04-01,0.107,0.331
1908-05-01,5.514,0.637
1908-06-01,9.385,0.295
1908-07-01,12.201,0.449
1908-08-01,10.883,0.634
1908-09-01,5.709,0.3
1908-10-01,-0.237,0.422
1908-11-01,-5.221,0.443
1908-12-01,-11.723,0.885
1909-01-01,-20.224,0.986
1909-02-01,-13.032,0.499
1909-03-01,-3.973,0.655
1909-04-01,-2.026,0.557
1909-05-01,4.98,0.351
1909-06-01,9.727,0.416
1909-07-01,11.62,0.286
1909-08-01,9.816,0.35
1909-09-01,7.411,0.418
1909-10-01,0.921,0.397
1909-11-01,-9.362,0.286
1909-12-01,-13.871,0.268
1910-01-01,-12.22,0.684
1910-02-01,-13.618,0.582
1910-03-01,-3.243,0.585
1910-04-01,0.802,0.526
1910-05-01,6.005,0.283
1910-06-01,8.479,0.248
1910-07-01,11.724,0.267
1910-08-01,9.656,0.635
1910-09-01,6.792,0.499
1910-10-01,0.983,0.318
1910-11-01,-6.921,0.535
1910-12-01,-9.896,0.652
1911-01-01,-18.793,0.447
1911-02-01,-11.801,0.549
1911-03-01,-4.709,0.401
1911-04-01,-1.775,0.365
1911-05-01,5.194,0.307
1911-06-01,9.005,0.258
1911-07-01,12.004,0.23
1911-08-01,10.75,0.469
1911-09-01,6.42,0.417
1911-10-01,1.452,0.249
1911-11-01,-9.083,0.333
1911-12-01,-10.43,0.578
1912-01-01,-14.585,0.646
1912-02-01,-7.259,0.481
1912-03-01,-5.771,0.794
1912-04-01,0.946,0.214
1912-05-01,7.312,0.237
1912-06-01,10.106,0.297
1912-07-01,11.37,0.208
1912-08-01,10.334,0.318
1912-09-01,6.51,0.396
1912-10-01,0.722,0.389
1912-11-01,-4.915,0.23
1912-12-01,-9.298,0.434
1913-01-01,-17.108,0.398
1913-02-01,-11.149,0.657
1913-03-01,-7.423,0.525
1913-04-01,0.297,0.238
1913-05-01,4.936,0.243
1913-06-01,9.947,0.324
1913-07-01,11.27,0.172
1913-08-01,10.989,0.349
1913-09-01,6.003,0.328
1913-10-01,-0.649,0.233
1913-11-01,-5.465,0.453
1913-12-01,-8.853,0.716
1914-01-01,-12.986,0.638
1914-02-01,-10.447,0.412
1914-03-01,-4.878,0.404
1914-04-01,1.186,0.574
1914-05-01,6.073,0.439
1914-06-01,9.964,0.4
1914-07-01,11.037,0.413
1914-08-01,10.87,0.5
1914-09-01,5.912,0.348
1914-10-01,2.667,0.579
1914-11-01,-5.287,0.451
1914-12-01,-14.144,0.755
1915-01-01,-11.601,0.583
1915-02-01,-8.167,0.564
1915-03-01,-1.648,0.708
1915-04-01,3.186,0.204
1915-05-01,7.44,0.418
1915-06-01,9.936,0.297
1915-07-01,12.784,0.291
1915-08-01,12.726,0.394
1915-09-01,6.611,0.318
1915-10-01,0.797,0.245
1915-11-01,-6.965,0.562
1915-12-01,-10.035,0.333
1916-01-01,-20.908,0.699
1916-02-01,-10.487,0.631
1916-03-01,-6.267,0.674
1916-04-01,1.33,0.477
1916-05-01,5.281,0.323
1916-06-01,9.827,0.294
1916-07-01,10.648,0.249
1916-08-01,10.939,0.274
1916-09-01,6.817,0.287
1916-10-01,0.991,0.328
1916-11-01,-6.51,0.238
1916-12-01,-14.699,0.37
1917-01-01,-14.934,0.659
1917-02-01,-12.968,0.477
1917-03-01,-6.768,0.439
1917-04-01,-0.323,0.23
1917-05-01,5.276,0.354
1917-06-01,8.363,0.349
1917-07-01,11.312,0.377
1917-08-01,11.103,0.245
1917-09-01,7.127,0.333
1917-10-01,0.928,0.24
1917-11-01,-1.838,0.548
1917-12-01,-16.881,0.446
1918-01-01,-11.876,0.718
1918-02-01,-11.835,0.412
1918-03-01,-7.417,0.611
1918-04-01,0.306,0.419
1918-05-01,4.526,0.307
1918-06-01,9.539,0.294
1918-07-01,12.299,0.221
1918-08-01,10.632,0.2
1918-09-01,8.806,0.26
1918-10-01,1.181,0.363
1918-11-01,-5.157,0.436
1918-12-01,-10.053,0.25
1919-01-01,-9.376,0.487
1919-02-01,-12.198,0.662
1919-03-01,-9.009,0.72
1919-04-01,1.451,0.676
1919-05-01,4.659,0.458
1919-06-01,8.177,0.333
1919-07-01,11.641,0.361
1919-08-01,11.557,0.354
1919-09-01,7.716,0.266
1919-10-01,-1.577,0.299
1919-11-01,-9.277,0.287
1919-12-01,-12.926,0.593
1920-01-01,-14.661,0.271
1920-02-01,-7.732,0.613
1920-03-01,-6.176,0.285
1920-04-01,-2.207,0.751
1920-05-01,3.626,0.376
1920-06-01,8.422,0.472
1920-07-01,13.55,0.505
1920-08-01,11.092,0.389
1920-09-01,6.079,0.468
1920-10-01,-0.278,0.493
1920-11-01,-5.19,0.371
1920-12-01,-10.631,0.833
1921-01-01,-13.314,0.47
1921-02-01,-8.982,0.409
1921-03-01,-6.492,0.258
1921-04-01,0.678,0.274
1921-05-01,5.857,0.374
1921-06-01,10.043,0.511
1921-07-01,11.345,0.378
1921-08-01,10.64,0.261
1921-09-01,5.925,0.248
1921-10-01,2.373,0.448
1921-11-01,-8.043,0.496
1921-12-01,-11.978,0.748
1922-01-01,-12.716,0.681
1922-02-01,-15.863,0.503
1922-03-01,-6.983,0.412
1922-04-01,-0.419,0.179
1922-05-01,5.339,0.34
1922-06-01,10.552,0.16
1922-07-01,12.183,0.292
1922-08-01,11.823,0.379
1922-09-01,7.1,0.378
1922-10-01,1.874,0.309
1922-11-01,-4.978,0.597
1922-12-01,-14.34,0.325
1923-01-01,-13.983,0.506
1923-02-01,-10.278,0.545
1923-03-01,-5.605,0.368
1923-04-01,1.035,0.355
1923-05-01,5.988,0.201
1923-06-01,11.224,0.241
1923-07-01,13.087,0.252
1923-08-01,12.399,0.24
1923-09-01,7.656,0.39
1923-10-01,2.596,0.587
1923-11-01,-3.119,0.498
1923-12-01,-10.157,0.255
1924-01-01,-12.774,0.364
1924-02-01,-6.905,0.481
1924-03-01,-3.734,0.543
1924-04-01,-0.638,0.464
1924-05-01,7.265,0.516
1924-06-01,10.127,0.447
1924-07-01,12.418,0.303
1924-08-01,10.963,0.346
1924-09-01,6.96,0.331
1924-10-01,1.627,0.256
1924-11-01,-6.363,0.374
1924-12-01,-15.158,0.516
1925-01-01,-14.232,0.385
1925-02-01,-11.111,0.498
1925-03-01,-5.417,0.555
1925-04-01,1.228,0.405
1925-05-01,7.579,0.387
1925-06-01,10.621,0.375
1925-07-01,12.833,0.364
1925-08-01,11.028,0.292
1925-09-01,6.838,0.376
1925-10-01,0.28,0.319
1925-11-01,-5.203,0.23
1925-12-01,-6.352,0.425
1926-01-01,-7.025,0.462
1926-02-01,-5.693,0.708
1926-03-01,-1.09,0.509
1926-04-01,2.787,0.293
1926-05-01,6.172,0.36
1926-06-01,10.52,0.34
1926-07-01,12.906,0.225
1926-08-01,11.349,0.373
1926-09-01,5.01,0.281
1926-10-01,1.807,0.293
1926-11-01,-5.253,0.353
1926-12-01,-10.791,0.425
1927-01-01,-13.508,0.39
1927-02-01,-9.858,0.497
1927-03-01,-4.269,0.603
1927-04-01,-1.388,0.348
1927-05-01,4.977,0.283
1927-06-01,10.765,0.213
1927-07-01,13.116,0.312
1927-08-01,13.0,0.29
1927-09-01,6.889,0.217
1927-10-01,0.882,0.166
1927-11-01,-10.651,0.495
1927-12-01,-16.97,0.509
1928-01-01,-10.642,0.457
1928-02-01,-7.087,0.637
1928-03-01,-4.328,0.263
1928-04-01,-0.761,0.298
1928-05-01,6.977,0.209
1928-06-01,11.234,0.225
1928-07-01,13.162,0.395
1928-08-01,10.677,0.317
1928-09-01,7.477,0.305
1928-10-01,0.531,0.247
1928-11-01,-3.586,0.303
1928-12-01,-8.981,0.434
1929-01-01,-14.594,0.388
1929-02-01,-12.044,0.523
1929-03-01,-3.935,0.241
1929-04-01,-0.815,0.256
1929-05-01,6.06,0.334
1929-06-01,9.886,0.316
1929-07-01,11.483,0.252
1929-08-01,11.459,0.261
1929-09-01,7.79,0.2
1929-10-01,3.029,0.288
1929-11-01,-3.86,0.355
1929-12-01,-12.109,0.256
1930-01-01,-18.287,1.018
1930-02-01,-8.657,0.315
1930-03-01,-4.891,0.305
1930-04-01,1.798,0.234
1930-05-01,5.31,0.264
1930-06-01,9.287,0.172
1930-07-01,12.131,0.27
1930-08-01,12.489,0.192
1930-09-01,7.328,0.229
1930-10-01,-0.266,0.26
1930-11-01,-4.75,0.332
1930-12-01,-5.343,0.343
1931-01-01,-6.995,0.299
1931-02-01,-5.322,0.404
1931-03-01,-5.657,0.387
1931-04-01,2.011,0.17
1931-05-01,6.012,0.192
1931-06-01,9.894,0.23
1931-07-01,12.441,0.355
1931-08-01,11.581,0.222
1931-09-01,6.837,0.197
1931-10-01,1.47,0.192
1931-11-01,-7.742,0.387
1931-12-01,-10.378,0.367
1932-01-01,-13.278,0.464
1932-02-01,-11.767,0.502
1932-03-01,-6.765,0.225
1932-04-01,1.581,0.218
1932-05-01,5.989,0.172
1932-06-01,9.809,0.28
1932-07-01,10.755,0.271
1932-08-01,12.305,0.222
1932-09-01,6.854,0.15
1932-10-01,0.963,0.256
1932-11-01,-7.041,0.179
1932-12-01,-13.432,0.257
1933-01-01,-13.55,0.477
1933-02-01,-12.587,0.334
1933-03-01,-6.302,0.261
1933-04-01,-0.247,0.295
1933-05-01,5.567,0.146
1933-06-01,8.483,0.265
1933-07-01,10.67,0.291
1933-08-01,12.567,0.133
1933-09-01,5.729,0.205
1933-10-01,-0.559,0.213
1933-11-01,-3.148,0.246
1933-12-01,-17.329,0.623
1934-01-01,-10.502,0.353
1934-02-01,-6.221,0.618
1934-03-01,-3.81,0.371
1934-04-01,3.455,0.234
1934-05-01,7.312,0.236
1934-06-01,9.841,0.17
1934-07-01,11.856,0.241
1934-08-01,11.575,0.218
1934-09-01,5.918,0.192
1934-10-01,1.749,0.211
1934-11-01,-4.296,0.37
1934-12-01,-11.812,0.212
1935-01-01,-16.358,0.322
1935-02-01,-5.567,0.59
1935-03-01,-8.134,0.288
1935-04-01,-1.626,0.448
1935-05-01,5.698,0.197
1935-06-01,9.473,0.179
1935-07-01,12.357,0.162
1935-08-01,10.236,0.207
1935-09-01,7.681,0.146
1935-10-01,-0.148,0.202
1935-11-01,-7.548,0.254
1935-12-01,-7.873,0.273
1936-01-01,-14.115,0.393
1936-02-01,-19.559,0.674
1936-03-01,-5.747,0.279
1936-04-01,0.46,0.181
1936-05-01,7.784,0.253
1936-06-01,11.217,0.185
1936-07-01,12.253,0.212
1936-08-01,12.193,0.214
1936-09-01,6.149,0.205
1936-10-01,2.887,0.167
1936-11-01,-3.418,0.233
1936-12-01,-12.018,0.275
1937-01-01,-17.508,1.06
1937-02-01,-12.723,0.443
1937-03-01,-3.319,0.394
1937-04-01,0.806,0.309
1937-05-01,5.996,0.238
1937-06-01,10.948,0.176
1937-07-01,12.076,0.301
1937-08-01,9.754,0.297
1937-09-01,8.209,0.171
1937-10-01,2.879,0.177
1937-11-01,-6.517,0.303
1937-12-01,-12.281,0.395
1938-01-01,-10.852,0.237
1938-02-01,-12.246,0.299
1938-03-01,-3.659,0.379
1938-04-01,1.346,0.319
1938-05-01,6.215,0.261
1938-06-01,10.274,0.153
1938-07-01,12.995,0.159
1938-08-01,10.853,0.153
1938-09-01,10.169,0.158
1938-10-01,2.971,0.227
1938-11-01,-6.014,0.275
1938-12-01,-10.41,0.299
1939-01-01,-9.106,0.568
1939-02-01,-12.674,0.307
1939-03-01,-6.225,0.307
1939-04-01,1.041,0.248
1939-05-01,6.189,0.191
1939-06-01,9.249,0.199
1939-07-01,12.044,0.204
1939-08-01,11.506,0.276
1939-09-01,6.831,0.239
1939-10-01,0.133,0.161
1939-11-01,-2.927,0.388
1939-12-01,-6.246,0.567
1940-01-01,-11.369,0.419
1940-02-01,-8.505,0.261
1940-03-01,-2.6,0.269
1940-04-01,2.508,0.241
1940-05-01,6.839,0.204
1940-06-01,9.763,0.205
1940-07-01,12.852,0.185
1940-08-01,11.511,0.203
1940-09-01,9.351,0.333
1940-10-01,2.488,0.21
1940-11-01,-8.648,0.266
1940-12-01,-9.295,0.332
1941-01-01,-11.197,0.407
1941-02-01,-7.978,0.302
1941-03-01,-1.794,0.313
1941-04-01,3.731,0.241
1941-05-01,6.167,0.211
1941-06-01,10.848,0.346
1941-07-01,13.994,0.202
1941-08-01,12.114,0.264
1941-09-01,5.606,0.305
1941-10-01,1.892,0.252
1941-11-01,-4.9,0.508
1941-12-01,-11.752,0.318
1942-01-01,-8.507,0.616
1942-02-01,-7.974,0.262
1942-03-01,-4.01,0.217
1942-04-01,1.216,0.274
1942-05-01,7.268,0.229
1942-06-01,10.326,0.219
1942-07-01,13.279,0.259
1942-08-01,12.53,0.221
1942-09-01,8.022,0.218
1942-10-01,2.451,0.159
1942-11-01,-8.695,0.305
1942-12-01,-12.792,0.532
1943-01-01,-16.8,0.227
1943-02-01,-7.342,0.439
1943-03-01,-7.373,0.463
1943-04-01,2.048,0.199
1943-05-01,4.663,0.19
1943-06-01,9.391,0.282
1943-07-01,11.811,0.188
1943-08-01,10.75,0.18
1943-09-01,7.81,0.205
1943-10-01,2.08,0.198
1943-11-01,-2.536,0.164
1943-12-01,-6.881,0.252
1944-01-01,-8.709,0.359
1944-02-01,-8.432,0.257
1944-03-01,-5.525,0.196
1944-04-01,2.096,0.174
1944-05-01,6.53,0.216
1944-06-01,10.529,0.183
1944-07-01,12.52,0.203
1944-08-01,10.957,0.174
1944-09-01,8.033,0.151
1944-10-01,3.396,0.236
1944-11-01,-4.748,0.317
1944-12-01,-10.151,0.329
1945-01-01,-9.563,0.36
1945-02-01,-7.99,0.414
1945-03-01,-3.965,0.226
1945-04-01,-2.014,0.212
1945-05-01,6.741,0.182
1945-06-01,9.133,0.19
1945-07-01,11.991,0.158
1945-08-01,12.105,0.239
1945-09-01,6.272,0.198
1945-10-01,1.9,0.263
1945-11-01,-9.896,0.325
1945-12-01,-11.795,0.373
1946-01-01,-10.578,0.419
1946-02-01,-9.786,0.345
1946-03-01,-3.536,0.218
1946-04-01,0.624,0.173
1946-05-01,7.632,0.184
1946-06-01,10.24,0.155
1946-07-01,11.639,0.245
1946-08-01,11.525,0.233
1946-09-01,7.315,0.184
1946-10-01,0.271,0.153
1946-11-01,-8.745,0.243
1946-12-01,-13.364,0.266
1947-01-01,-13.773,0.52
1947-02-01,-10.401,0.385
1947-03-01,-3.322,0.306
1947-04-01,1.088,0.197
1947-05-01,6.789,0.192
1947-06-01,9.493,0.153
1947-07-01,11.992,0.262
1947-08-01,10.193,0.159
1947-09-01,7.432,0.201
1947-10-01,1.891,0.17
1947-11-01,-4.979,0.144
1947-12-01,-8.128,0.194
1948-01-01,-9.067,0.369
1948-02-01,-13.488,0.25
1948-03-01,-7.357,0.219
1948-04-01,-2.929,0.208
1948-05-01,7.197,0.175
1948-06-01,11.965,0.106
1948-07-01,12.127,0.193
1948-08-01,10.997,0.192
1948-09-01,6.665,0.218
1948-10-01,1.412,0.228
1948-11-01,-5.793,0.234
1948-12-01,-15.531,0.362
1949-01-01,-14.691,0.32
1949-02-01,-14.973,0.377
1949-03-01,-3.982,0.234
1949-04-01,1.826,0.169
1949-05-01,6.36,0.137
1949-06-01,8.583,0.183
1949-07-01,11.465,0.159
1949-08-01,10.89,0.205
1949-09-01,8.187,0.222
1949-10-01,0.364,0.142
1949-11-01,-1.241,0.28
1949-12-01,-14.875,0.571
1950-01-01,-21.621,1.352
1950-02-01,-10.883,0.309
1950-03-01,-5.894,0.183
1950-04-01,-1.235,0.195
1950-05-01,4.974,0.258
1950-06-01,11.713,0.212
1950-07-01,12.125,0.205
1950-08-01,10.796,0.188
1950-09-01,8.183,0.153
1950-10-01,-0.583,0.132
1950-11-01,-10.7,0.406
1950-12-01,-10.107,0.245
1951-01-01,-15.774,0.227
1951-02-01,-11.777,0.298
1951-03-01,-9.406,0.289
1951-04-01,0.505,0.235
1951-05-01,6.17,0.208
1951-06-01,9.449,0.501
1951-07-01,13.053,0.244
1951-08-01,11.276,0.211
1951-09-01,7.62,0.278
1951-10-01,-1.024,0.167
1951-11-01,-6.483,0.238
1951-12-01,-15.128,0.269
1952-01-01,-16.61,0.284
1952-02-01,-9.38,0.269
1952-03-01,-5.602,0.201
1952-04-01,0.549,0.224
1952-05-01,6.228,0.182
1952-06-01,8.802,0.185
1952-07-01,12.253,0.162
1952-08-01,11.604,0.22
1952-09-01,7.848,0.169
1952-10-01,3.529,0.204
1952-11-01,-3.791,0.195
1952-12-01,-9.006,0.298
1953-01-01,-15.133,0.322
1953-02-01,-6.11,0.391
1953-03-01,-4.507,0.189
1953-04-01,0.094,0.176
1953-05-01,6.853,0.158
1953-06-01,9.734,0.213
1953-07-01,12.064,0.159
1953-08-01,11.728,0.165
1953-09-01,7.101,0.141
1953-10-01,2.582,0.33
1953-11-01,-3.774,0.19
1953-12-01,-7.988,0.322
1954-01-01,-18.01,0.559
1954-02-01,-7.878,0.275
1954-03-01,-6.048,0.231
1954-04-01,-4.418,0.288
1954-05-01,5.923,0.341
1954-06-01,9.015,0.252
1954-07-01,10.89,0.238
1954-08-01,11.416,0.123
1954-09-01,7.259,0.215
1954-10-01,1.189,0.235
1954-11-01,-1.635,0.234
1954-12-01,-8.737,0.386
1955-01-01,-9.988,0.279
1955-02-01,-10.512,0.466
1955-03-01,-9.283,0.193
1955-04-01,-0.694,0.247
1955-05-01,4.125,0.277
1955-06-01,9.467,0.168
1955-07-01,11.939,0.205
1955-08-01,10.198,0.25
1955-09-01,6.672,0.192
1955-10-01,0.51,0.228
1955-11-01,-13.27,0.602
1955-12-01,-16.393,0.371
1956-01-01,-15.888,0.295
1956-02-01,-13.254,0.251
1956-03-01,-6.456,0.195
1956-04-01,0.667,0.228
1956-05-01,7.022,0.166
1956-06-01,8.627,0.139
1956-07-01,12.854,0.136
1956-08-01,11.926,0.289
1956-09-01,6.71,0.248
1956-10-01,-0.947,0.384
1956-11-01,-4.511,0.515
1956-12-01,-11.622,0.404
1957-01-01,-17.434,0.513
1957-02-01,-12.442,0.399
1957-03-01,-4.665,0.271
1957-04-01,0.974,0.312
1957-05-01,7.506,0.226
1957-06-01,9.994,0.495
1957-07-01,10.973,0.551
1957-08-01,11.104,0.739
1957-09-01,9.523,0.495
1957-10-01,0.24,0.372
1957-11-01,-3.752,0.297
1957-12-01,-9.893,0.295
1958-01-01,-7.856,0.454
1958-02-01,-9.361,0.446
1958-03-01,-4.523,0.229
1958-04-01,1.709,0.26
1958-05-01,8.407,0.303
1958-06-01,12.816,0.388
1958-07-01,14.665,0.363
1958-08-01,12.157,0.319
1958-09-01,6.578,0.179
1958-10-01,1.993,0.193
1958-11-01,-6.869,0.187
1958-12-01,-10.267,0.203
1959-01-01,-15.406,0.585
1959-02-01,-10.121,0.392
1959-03-01,-3.645,0.311
1959-04-01,0.806,0.375
1959-05-01,5.344,0.202
1959-06-01,9.603,0.213
1959-07-01,12.56,0.266
1959-08-01,9.44,0.136
1959-09-01,6.424,0.277
1959-10-01,0.5,0.225
1959-11-01,-7.356,0.196
1959-12-01,-6.992,0.331
1960-01-01,-12.941,0.25
1960-02-01,-8.013,0.313
1960-03-01,-6.301,0.395
1960-04-01,1.874,0.213
1960-05-01,5.313,0.369
1960-06-01,9.114,0.354
1960-07-01,13.08,0.253
1960-08-01,10.956,0.319
1960-09-01,7.055,0.187
1960-10-01,2.247,0.251
1960-11-01,-6.278,0.398
1960-12-01,-8.855,0.154
1961-01-01,-10.054,0.443
1961-02-01,-7.831,0.307
1961-03-01,-4.183,0.382
1961-04-01,0.58,0.454
1961-05-01,6.527,0.335
1961-06-01,11.448,0.284
1961-07-01,13.798,0.207
1961-08-01,13.161,0.189
1961-09-01,5.93,0.15
1961-10-01,0.174,0.336
1961-11-01,-8.334,0.179
1961-12-01,-13.894,0.354
1962-01-01,-12.035,0.346
1962-02-01,-10.672,0.448
1962-03-01,-7.279,0.29
1962-04-01,1.362,0.255
1962-05-01,4.953,0.169
1962-06-01,9.093,0.524
1962-07-01,12.218,0.237
1962-08-01,11.086,0.185
1962-09-01,7.24,0.282
1962-10-01,2.527,0.328
1962-11-01,-3.533,0.277
1962-12-01,-8.415,0.331
1963-01-01,-12.839,0.435
1963-02-01,-5.826,0.263
1963-03-01,-4.484,0.164
1963-04-01,0.876,0.204
1963-05-01,6.002,0.354
1963-06-01,9.316,0.264
1963-07-01,11.887,0.299
1963-08-01,13.0,0.184
1963-09-01,9.355,0.165
1963-10-01,2.991,0.25
1963-11-01,-7.946,0.179
1963-12-01,-9.649,0.222
1964-01-01,-10.885,0.443
1964-02-01,-5.052,0.233
1964-03-01,-7.608,0.215
1964-04-01,-0.265,0.227
1964-05-01,4.915,0.33
1964-06-01,10.145,0.246
1964-07-01,11.504,0.262
1964-08-01,10.322,0.283
1964-09-01,5.979,0.132
1964-10-01,2.266,0.288
1964-11-01,-7.211,0.167
1964-12-01,-17.038,0.302
1965-01-01,-13.39,0.325
1965-02-01,-11.077,0.381
1965-03-01,-5.886,0.386
1965-04-01,0.797,0.163
1965-05-01,5.15,0.339
1965-06-01,9.428,0.44
1965-07-01,13.298,0.275
1965-08-01,12.683,0.219
1965-09-01,6.165,0.243
1965-10-01,2.497,0.336
1965-11-01,-7.14,0.189
1965-12-01,-11.401,0.233
1966-01-01,-17.579,0.449
1966-02-01,-8.314,0.239
1966-03-01,-4.555,0.32
1966-04-01,-0.41,0.256
1966-05-01,5.667,0.244
1966-06-01,9.201,0.262
1966-07-01,12.239,0.219
1966-08-01,10.841,0.205
1966-09-01,8.176,0.251
1966-10-01,0.475,0.194
1966-11-01,-8.785,0.299
1966-12-01,-10.077,0.282
1967-01-01,-12.631,0.304
1967-02-01,-7.717,0.309
1967-03-01,-8.098,0.268
1967-04-01,-0.49,0.158
1967-05-01,5.761,0.285
1967-06-01,11.537,0.242
1967-07-01,12.035,0.329
1967-08-01,13.456,0.355
1967-09-01,9.159,0.209
1967-10-01,1.707,0.127
1967-11-01,-4.719,0.18
1967-12-01,-11.374,0.254
1968-01-01,-13.781,0.342
1968-02-01,-8.439,0.234
1968-03-01,-2.285,0.129
1968-04-01,-0.288,0.222
1968-05-01,6.125,0.142
1968-06-01,9.118,0.326
1968-07-01,12.545,0.182
1968-08-01,10.537,0.149
1968-09-01,6.718,0.131
1968-10-01,0.793,0.285
1968-11-01,-5.012,0.212
1968-12-01,-16.24,0.314
1969-01-01,-22.54,0.539
1969-02-01,-11.095,0.302
1969-03-01,-4.356,0.179
1969-04-01,1.696,0.159
1969-05-01,7.07,0.205
1969-06-01,12.541,0.277
1969-07-01,11.52,0.31
1969-08-01,9.861,0.211
1969-09-01,6.977,0.12
1969-10-01,1.176,0.25
1969-11-01,-3.672,0.31
1969-12-01,-7.366,0.241
1970-01-01,-14.313,0.218
1970-02-01,-5.636,0.248
1970-03-01,-3.378,0.182
1970-04-01,0.478,0.29
1970-05-01,5.626,0.211
1970-06-01,11.034,0.317
1970-07-01,11.821,0.209
1970-08-01,11.422,0.173
1970-09-01,5.929,0.165
1970-10-01,1.007,0.169
1970-11-01,-8.133,0.141
1970-12-01,-14.112,0.242
1971-01-01,-15.751,0.299
1971-02-01,-8.465,0.278
1971-03-01,-6.652,0.176
1971-04-01,0.841,0.194
1971-05-01,6.143,0.24
1971-06-01,9.621,0.209
1971-07-01,13.32,0.189
1971-08-01,12.728,0.161
1971-09-01,6.097,0.172
1971-10-01,0.359,0.18
1971-11-01,-5.791,0.201
1971-12-01,-16.049,0.39
1972-01-01,-18.191,0.432
1972-02-01,-13.296,0.312
1972-03-01,-4.995,0.222
1972-04-01,-2.076,0.264
1972-05-01,6.537,0.176
1972-06-01,9.493,0.311
1972-07-01,11.784,0.236
1972-08-01,12.219,0.214
1972-09-01,4.91,0.153
1972-10-01,0.108,0.298
1972-11-01,-4.714,0.211
1972-12-01,-13.965,0.25
1973-01-01,-13.023,0.173
1973-02-01,-9.614,0.201
1973-03-01,-3.568,0.233
1973-04-01,1.129,0.161
1973-05-01,6.45,0.305
1973-06-01,8.933,0.138
1973-07-01,11.723,0.172
1973-08-01,10.434,0.24
1973-09-01,7.279,0.099
1973-10-01,0.578,0.162
1973-11-01,-11.886,0.275
1973-12-01,-10.32,0.118
1974-01-01,-16.467,0.313
1974-02-01,-8.34,0.241
1974-03-01,-7.093,0.298
1974-04-01,1.181,0.194
1974-05-01,4.495,0.177
1974-06-01,9.339,0.171
1974-07-01,10.653,0.147
1974-08-01,11.871,0.273
1974-09-01,8.087,0.195
1974-10-01,2.179,0.132
1974-11-01,-4.555,0.242
1974-12-01,-7.175,0.31
1975-01-01,-13.06,0.218
1975-02-01,-13.511,0.475
1975-03-01,-6.699,0.123
1975-04-01,-0.101,0.127
1975-05-01,5.676,0.206
1975-06-01,9.166,0.232
1975-07-01,13.384,0.332
1975-08-01,9.948,0.463
1975-09-01,8.226,0.343
1975-10-01,1.057,0.26
1975-11-01,-7.751,0.227
1975-12-01,-11.212,0.306
1976-01-01,-10.33,0.18
1976-02-01,-10.009,0.177
1976-03-01,-6.114,0.233
1976-04-01,1.521,0.19
1976-05-01,5.748,0.321
1976-06-01,8.393,0.25
1976-07-01,11.028,0.379
1976-08-01,10.98,0.212
1976-09-01,8.366,0.205
1976-10-01,1.486,0.3
1976-11-01,-3.326,0.287
1976-12-01,-8.423,0.184
1977-01-01,-9.944,0.294
1977-02-01,-3.411,0.375
1977-03-01,-4.129,0.147
1977-04-01,2.691,0.217
1977-05-01,5.89,0.225
1977-06-01,10.262,0.261
1977-07-01,11.48,0.255
1977-08-01,12.903,0.265
1977-09-01,6.638,0.193
1977-10-01,1.477,0.15
1977-11-01,-8.082,0.204
1977-12-01,-16.258,0.265
1978-01-01,-13.716,0.264
1978-02-01,-8.003,0.157
1978-03-01,-4.17,0.215
1978-04-01,1.455,0.275
1978-05-01,5.526,0.236
1978-06-01,11.329,0.237
1978-07-01,13.214,0.236
1978-08-01,11.41,0.273
1978-09-01,6.82,0.112
1978-10-01,2.806,0.167
1978-11-01,-7.672,0.257
1978-12-01,-12.467,0.36
1979-01-01,-17.215,0.528
1979-02-01,-15.254,0.568
1979-03-01,-3.135,0.245
1979-04-01,0.388,0.238
1979-05-01,5.507,0.247
1979-06-01,9.531,0.168
1979-07-01,13.271,0.125
1979-08-01,13.082,0.302
1979-09-01,8.616,0.111
1979-10-01,2.975,0.14
1979-11-01,-4.671,0.282
1979-12-01,-8.879,0.372
1980-01-01,-15.619,0.212
1980-02-01,-7.39,0.18
1980-03-01,-4.996,0.165
1980-04-01,3.067,0.162
1980-05-01,7.34,0.184
1980-06-01,10.851,0.258
1980-07-01,11.944,0.26
1980-08-01,10.35,0.182
1980-09-01,6.843,0.146
1980-10-01,3.143,0.255
1980-11-01,-2.645,0.232
1980-12-01,-13.407,0.432
1981-01-01,-5.532,0.246
1981-02-01,-7.171,0.283
1981-03-01,-1.581,0.215
1981-04-01,-0.18,0.284
1981-05-01,7.462,0.227
1981-06-01,8.47,0.343
1981-07-01,12.859,0.281
1981-08-01,13.456,0.194
1981-09-01,7.716,0.221
1981-10-01,1.29,0.257
1981-11-01,-3.358,0.322
1981-12-01,-12.064,0.209
1982-01-01,-18.605,0.3
1982-02-01,-12.09,0.16
1982-03-01,-6.117,0.224
1982-04-01,-1.309,0.143
1982-05-01,5.262,0.202
1982-06-01,12.151,0.23
1982-07-01,12.792,0.243
1982-08-01,10.666,0.152
