source,year,value
OIL,2029,0.031763311488
SOLAR,2029,3.95375657436
WIND,2029,9.3005523144
BIOMASS / GEOTHERMAL,2030,9.5753004696
HYDRO / WAVE / TIDAL,2030,227.085477408
NATURAL GAS,2030,33.4920627396
OIL,2030,0.0
SOLAR,2030,4.32433948608
WIND,2030,9.3005523144
BIOMASS / GEOTHERMAL,2031,9.7499453076
HYDRO / WAVE / TIDAL,2031,227.751281712
NATURAL GAS,2031,33.7234766184
OIL,2031,0.0
SOLAR,2031,8.476955584559999
WIND,2031,11.7048366144
BIOMASS / GEOTHERMAL,2032,10.19051012556
HYDRO / WAVE / TIDAL,2032,228.417086052
NATURAL GAS,2032,36.613112076
OIL,2032,0.0
SOLAR,2032,12.62957167944
WIND,2032,14.109120914399998
BIOMASS / GEOTHERMAL,2033,10.40913349164
HYDRO / WAVE / TIDAL,2033,229.082890356
NATURAL GAS,2033,38.236331196
OIL,2033,0.0
SOLAR,2033,16.78218777468
WIND,2033,16.5134052144
BIOMASS / GEOTHERMAL,2034,10.25837366364
HYDRO / WAVE / TIDAL,2034,229.74869466
NATURAL GAS,2034,37.580966208
OIL,2034,0.0
SOLAR,2034,20.93480387352
WIND,2034,18.9176895144
BIOMASS / GEOTHERMAL,2035,9.772225173504
HYDRO / WAVE / TIDAL,2035,230.414498964
NATURAL GAS,2035,35.9592207876
OIL,2035,0.0
SOLAR,2035,25.0874199684
WIND,2035,21.3219738144
BIOMASS / GEOTHERMAL,2036,9.401361835032
HYDRO / WAVE / TIDAL,2036,230.414498964
NATURAL GAS,2036,35.298358650000004
OIL,2036,0.0
SOLAR,2036,25.74045842364
WIND,2036,28.191468312
BIOMASS / GEOTHERMAL,2037,9.472212951624
HYDRO / WAVE / TIDAL,2037,230.414498964
NATURAL GAS,2037,35.257422150000004
OIL,2037,0.0
SOLAR,2037,26.39349687888
WIND,2037,35.0609628132
BIOMASS / GEOTHERMAL,2038,9.319766720364
HYDRO / WAVE / TIDAL,2038,230.412498876
NATURAL GAS,2038,35.0367068124
OIL,2038,0.0
SOLAR,2038,27.04653533412
WIND,2038,41.93045729999999
BIOMASS / GEOTHERMAL,2039,9.33383267532
HYDRO / WAVE / TIDAL,2039,230.307332868
NATURAL GAS,2039,36.401298156
OIL,2039,0.0
SOLAR,2039,27.699573789
WIND,2039,48.799951812
BIOMASS / GEOTHERMAL,2040,9.02104577532
HYDRO / WAVE / TIDAL,2040,230.1000615
NATURAL GAS,2040,35.1535231728
OIL,2040,0.0
SOLAR,2040,28.35261224424
WIND,2040,55.669446324
BIOMASS / GEOTHERMAL,2041,9.54507886884
HYDRO / WAVE / TIDAL,2041,229.84460928
NATURAL GAS,2041,34.2487525572
OIL,2041,0.0
SOLAR,2041,30.9418352676
WIND,2041,61.598768976
