region,sector,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2040,365.3698,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2040,0.1758,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2041,7.0301,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2041,403.8755,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2042,344.3876,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2042,425.5916,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2043,378.7969,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2044,7.2924,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2044,406.8505,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2045,347.5524,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2045,434.1544,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2046,391.7036,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2047,7.7205,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2047,0.2374,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2048,352.6015,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2050,0.2582,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2005,12.8279,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2005,453.3986,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2006,222.7507,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2006,310.0628,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2007,219.554,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2007,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2008,14.6129,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2008,461.5127,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2009,184.2673,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2009,314.4162,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2010,210.2545,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2011,11.339,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2011,416.6552,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2012,212.4715,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2012,358.8965,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2013,209.3791,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2014,6.691,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2014,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2015,216.929,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2017,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2018,508.656,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2019,359.006,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2020,209.0134,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2020,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2021,8.1543,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2021,393.7475,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2022,243.125,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2022,381.2517,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2023,234.1795,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2023,0.0309,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2024,5.5068,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2024,442.7221,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2025,262.5352,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2025,397.0559,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2026,258.5831,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2027,4.3271,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2027,432.1114,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2028,297.9849,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2028,389.8134,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2029,285.6202,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2030,3.9873,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2030,0.0444,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2031,330.5793,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2033,0.0884,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2034,412.5765,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2035,422.2279,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2036,344.5006,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2036,0.1326,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2037,6.228,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2037,407.606,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2038,342.0911,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2038,420.3105,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2039,360.5066,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2040,6.9769,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2040,403.9852,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2041,343.7541,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2041,423.6725,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2042,374.4557,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2043,7.1889,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2043,0.2037,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2044,346.2145,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2046,0.2292,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2047,415.8623,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2048,446.9457,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2049,404.9038,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2049,0.2518,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2050,8.2641,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2050,429.0224,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2005,229.0653,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2005,365.9471,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2006,218.668,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2007,15.4189,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2007,466.9429,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2008,170.6639,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2008,321.1971,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2009,214.6461,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2010,11.321,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2010,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2011,202.1806,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2013,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2014,421.0323,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2015,338.6519,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2016,214.9615,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2016,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2017,6.273,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2017,465.4714,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2018,217.7564,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2018,369.5394,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2019,215.7399,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2019,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2020,4.258,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2020,397.7464,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2021,228.9172,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2021,366.3004,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2022,222.1281,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2023,8.1321,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2023,444.2236,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2024,254.3982,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2024,379.105,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2025,250.1017,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2026,4.3089,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2026,0.0316,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2027,286.148,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2029,0.0313,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2030,420.5814,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2031,415.8124,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2032,314.4155,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2032,0.0749,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2033,4.9576,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2033,413.8324,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2034,336.6594,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2034,420.7229,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2035,338.5498,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2035,0.1194,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2036,5.8846,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2036,409.2535,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2037,341.5488,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2037,421.003,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2038,355.3628,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2039,6.7623,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2039,404.6071,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2039,0.1657,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2040,343.1827,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2040,421.8834,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2041,369.9843,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2042,7.1024,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2042,0.195,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2043,345.1535,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2043,405.209,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2044,430.7048,PJ,2023
