region,sector,source,scenario,year,value,unit,dataset
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2015,0,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2016,6.406,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2016,450.4582,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2017,224.2541,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2017,375.4846,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2018,217.0632,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2019,6.585,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2019,495.5481,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2020,213.7704,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2020,362.2044,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2021,208.1486,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2022,9.0921,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2022,0.0301,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2023,245.2692,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2025,0.0308,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2026,439.3525,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2027,403.7412,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2028,274.3384,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2028,0.0306,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2029,4.0281,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2029,423.3871,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2030,328.0967,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2030,418.1685,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2031,302.5709,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2031,0.061,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2032,4.7659,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2032,415.8004,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2033,333.946,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2033,416.0239,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2034,332.404,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2035,5.559,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2035,410.9881,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2036,340.5472,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2036,422.3097,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2037,350.086,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2038,6.5105,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2038,0.1556,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2039,342.5716,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2041,0.1856,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2042,404.2381,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2043,427.82,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2044,383.0346,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,HYDROGEN,CURRENT MEASURES,2044,0.2126,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2045,7.4172,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2045,409.2695,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2046,349.1656,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2046,438.052,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2047,396.0096,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,"COAL, COKE & COKE OVEN GAS",CURRENT MEASURES,2048,7.8882,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,OIL PRODUCTS,CURRENT MEASURES,2048,419.847,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,BIOFUELS & EMERGING ENERGY,CURRENT MEASURES,2049,354.6288,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,NATURAL GAS,CURRENT MEASURES,2049,451.8597,PJ,2023
BRITISH COLUMBIA,TOTAL DEMAND,ELECTRICITY,CURRENT MEASURES,2050,409.5204,PJ,2023
