,Region,Municipality,Year,Total,source_x,value_x,sector,source_y,value_y
2205,21999,Unincorporated Areas - Nanaimo,2007," 37,874",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2214,23008,Port Alberni,2007," 18,025",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2223,23019,Ucluelet,2007,"  1,461",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2232,23025,Tofino,2007,"  1,720",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2241,23999,Unincorporated Areas - Alberni-Clayoquot,2007," 10,224",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2250,24025,Gold River,2007,"  1,405",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2259,24029,Zeballos,2007,    180,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2268,24030,Tahsis,2007,    355,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2277,24034,Campbell River,2007," 30,773",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2286,24039,Sayward,2007,    357,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2295,24999,Unincorporated Areas - Strathcona,2007," 10,488",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2304,26005,Comox,2007," 12,878",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2313,26010,Courtenay,2007," 23,404",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2322,26014,Cumberland,2007,"  2,994",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2331,26999,Unincorporated Areas - Comox Valley,2007," 22,614",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2340,27008,Powell River,2007," 13,439",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2349,27806,Sechelt Ind Gov Dist (Part-Powell River),2007,     18,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2358,27999,Unincorporated Areas - Powell River,2007,"  6,762",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2367,29005,Gibsons,2007,"  4,205",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2376,29011,Sechelt District Municipality,2007,"  8,807",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2385,29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2007,    859,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2394,29999,Unincorporated Areas - Sunshine Coast,2007," 14,717",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2403,3004,Creston,2007,"  4,965",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2412,3011,Salmo,2007,"  1,097",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2421,3015,Nelson,2007,"  9,734",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2430,3019,Slocan,2007,    329,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2439,3023,Kaslo,2007,"  1,087",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2448,3027,Silverton,2007,    187,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2457,3032,New Denver,2007,    519,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2466,3045,Castlegar,2007,"  7,576",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2475,3050,Nakusp,2007,"  1,566",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2484,31006,Squamish,2007," 16,418",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2493,31012,Pemberton,2007,"  2,420",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2502,31020,Whistler,2007,"  9,177",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2511,31026,Lillooet,2007,"  2,400",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2520,31999,Unincorporated Areas - Squamish-Lillooet,2007,"  6,739",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2529,33006,Merritt,2007,"  7,281",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2538,33015,Lytton,2007,    243,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2547,33019,Ashcroft,2007,"  1,664",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2556,33024,Cache Creek,2007,"  1,065",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2565,33028,Clinton,2007,    647,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2574,33035,Logan Lake,2007,"  2,175",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2583,33042,Kamloops,2007," 84,559",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2592,33045,Sun Peaks Mountain,2007,    422,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2601,33054,Chase,2007,"  2,483",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2610,33067,Clearwater,2007,"  2,321",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2619,33074,Barriere,2007,"  1,537",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2628,33999,Unincorporated Areas - Thompson-Nicola,2007," 23,528",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2637,35010,Kelowna,2007,"112,906",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2646,35016,Lake Country,2007," 10,157",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2655,35018,Peachland,2007,"  5,136",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2664,35029,West Kelowna,2007," 28,692",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2673,35999,Unincorporated Areas - Central Okanagan,2007," 14,121",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2682,37005,Lumby,2007,"  1,712",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2691,37010,Coldstream,2007,"  9,892",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2700,37014,Vernon,2007," 37,459",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2709,37024,Spallumcheen,2007,"  5,090",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2718,37028,Armstrong,2007,"  4,524",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2727,37033,Enderby,2007,"  2,941",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2736,37999,Unincorporated Areas - North Okanagan,2007," 18,630",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2745,39007,Golden,2007,"  3,862",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2754,39019,Revelstoke,2007,"  7,347",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2763,39032,Salmon Arm,2007," 16,923",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2772,39045,Sicamous,2007,"  2,678",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2781,3999,Unincorporated Areas - Central Kootenay,2007," 30,679",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2790,39999,Unincorporated Areas - Columbia-Shuswap,2007," 20,938",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2799,41005,One Hundred Mile House,2007,"  1,957",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2808,41009,Williams Lake,2007," 11,239",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2817,41013,Quesnel,2007,"  9,725",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2826,41025,Wells,2007,    254,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2835,41999,Unincorporated Areas - Cariboo,2007," 41,119",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2844,43008,Alert Bay,2007,    408,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2853,43012,Port McNeill,2007,"  2,688",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2862,43017,Port Alice,2007,    894,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2871,43023,Port Hardy,2007,"  3,997",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2880,43999,Unincorporated Areas - Mount Waddington,2007,"  4,011",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2889,45999,Unincorporated Areas - Central Coast,2007,"  3,256",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2898,47007,Port Edward,2007,    593,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2907,47012,Prince Rupert,2007," 13,047",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2916,47023,Masset,2007,    956,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2925,47026,Daajing Giids,2007,    969,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2934,47030,Port Clements,2007,    440,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2943,47999,Unincorporated Areas - Skeena-Queen Charlotte,2007,"  3,957",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2952,49005,Kitimat,2007,"  9,021",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2961,49011,Terrace,2007," 11,731",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2970,49022,Hazelton,2007,    305,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2979,49024,New Hazelton,2007,    643,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2988,49032,Stewart,2007,    517,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
2997,49999,Unincorporated Areas - Kitimat-Stikine,2007," 16,967",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3006,5005,Fruitvale,2007,"  1,996",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3015,5009,Montrose,2007,"  1,066",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3024,5014,Trail,2007,"  7,465",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3033,5018,Warfield,2007,"  1,784",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3042,5023,Rossland,2007,"  3,394",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3051,5032,Grand Forks,2007,"  4,118",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3060,5037,Midway,2007,    676,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3069,5042,Greenwood,2007,    651,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3078,51007,Vanderhoof,2007,"  4,263",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3087,51009,Fraser Lake,2007,"  1,119",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3096,51013,Fort St. James,2007,"  1,472",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3105,51022,Burns Lake,2007,"  2,156",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3114,51032,Granisle,2007,    359,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3123,51034,Houston,2007,"  3,254",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3132,51038,Telkwa,2007,"  1,327",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3141,51043,Smithers,2007,"  5,420",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3150,51999,Unincorporated Areas - Bulkley-Nechako,2007," 20,161",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3159,53007,Valemount,2007,"  1,051",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3168,53012,McBride,2007,    667,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3177,53023,Prince George,2007," 73,718",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3186,53033,Mackenzie,2007,"  4,654",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3195,53999,Unincorporated Areas - Fraser-Fort George,2007," 15,624",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3204,55003,Tumbler Ridge,2007,"  2,592",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3213,55005,Pouce Coupe,2007,    756,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3222,55010,Chetwynd,2007,"  2,754",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3231,55014,Dawson Creek,2007," 11,578",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3240,55025,Hudson's Hope,2007,"  1,038",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3249,55030,Taylor,2007,"  1,442",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3258,55034,Fort St. John,2007," 18,497",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3267,55999,Unincorporated Areas - Peace River,2007," 22,456",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3276,57999,Unincorporated Areas - Stikine,2007,    625,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3285,59007,Northern Rockies Regional Municipality,2007,"  5,729",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3294,5999,Unincorporated Areas - Kootenay Boundary,2007," 10,458",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3303,59999,Unincorporated Areas - Northern Rockies,2007,    482,BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3312,7005,Osoyoos,2007,"  4,848",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3321,7009,Keremeos,2007,"  1,330",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3330,7014,Oliver,2007,"  4,574",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3339,7024,Princeton,2007,"  2,838",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3348,7035,Summerland,2007," 11,281",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3357,7041,Penticton,2007," 32,820",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3366,7999,Unincorporated Areas - Okanagan-Similkameen,2007," 23,935",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3375,9009,Hope,2007,"  6,218",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3384,9020,Chilliwack,2007," 73,845",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3393,9027,Harrison Hot Springs,2007,"  1,531",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3402,9032,Kent,2007,"  5,180",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3411,9052,Abbotsford,2007,"129,856",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3420,9056,Mission,2007," 35,844",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3429,9999,Unincorporated Areas - Fraser Valley,2007," 17,110",BIOMASS,10.6153344,TOTAL DEMAND,NATURAL GAS,321.0989
3438,1003,Elkford,2008,"  2,522",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3447,1006,Sparwood,2008,"  3,841",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3456,1012,Fernie,2008,"  4,403",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3465,1022,Cranbrook,2008," 19,537",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3474,1028,Kimberley,2008,"  6,583",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3483,1039,Invermere,2008,"  3,099",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3492,1040,Radium Hot Springs,2008,    823,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3501,1043,Canal Flats,2008,    769,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3510,15001,"Langley, District Municipality",2008,"100,767",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3519,15002,"Langley, City of",2008," 24,962",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3528,15004,Surrey,2008,"433,935",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3537,15007,White Rock,2008," 19,088",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3546,15011,Delta,2008," 99,717",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3555,15015,Richmond,2008,"186,724",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3564,15022,Vancouver,2008,"606,245",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3573,15025,Burnaby,2008,"218,115",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3582,15029,New Westminster,2008," 63,659",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3591,15034,Coquitlam,2008,"120,621",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3600,15036,Belcarra,2008,    658,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3609,15038,Anmore,2008,"  2,051",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3618,15039,Port Coquitlam,2008," 55,223",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3627,15043,Port Moody,2008," 31,045",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3636,15046,"North Vancouver, District Municipality",2008," 84,690",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3645,15051,"North Vancouver, City of",2008," 47,531",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3654,15055,West Vancouver,2008," 42,745",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3663,15062,Bowen Island,2008,"  3,409",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3672,15065,Lions Bay,2008,"  1,347",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3681,15070,Pitt Meadows,2008," 17,240",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3690,15075,Maple Ridge,2008," 73,646",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3699,15999,Unincorporated Areas - Greater Vancouver,2008," 20,222",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3708,17005,North Saanich,2008," 10,936",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3717,17010,Sidney,2008," 11,531",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3726,17015,Central Saanich,2008," 16,173",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3735,17021,Saanich,2008,"111,527",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3744,17030,Oak Bay,2008," 18,330",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3753,17034,Victoria,2008," 81,227",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3762,17040,Esquimalt,2008," 16,955",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3771,17041,Colwood,2008," 15,776",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3780,17042,Metchosin,2008,"  4,910",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3789,17044,Langford,2008," 25,645",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3798,17047,View Royal,2008,"  9,224",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3807,17049,Highlands,2008,"  1,966",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3816,17052,Sooke,2008," 10,603",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3825,17999,Unincorporated Areas - Capital,2008," 24,782",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3834,19008,North Cowichan,2008," 28,629",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3843,19012,Duncan,2008,"  5,025",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3852,19016,Lake Cowichan,2008,"  3,070",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3861,19021,Ladysmith,2008,"  7,895",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3870,1999,Unincorporated Areas - East Kootenay,2008," 16,483",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3879,19999,Unincorporated Areas - Cowichan Valley,2008," 35,677",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3888,21007,Nanaimo,2008," 83,102",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3897,21008,Lantzville,2008,"  3,732",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3906,21018,Parksville,2008," 11,546",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3915,21023,Qualicum Beach,2008,"  8,761",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3924,21999,Unincorporated Areas - Nanaimo,2008," 38,314",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3933,23008,Port Alberni,2008," 18,043",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3942,23019,Ucluelet,2008,"  1,542",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3951,23025,Tofino,2008,"  1,757",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3960,23999,Unincorporated Areas - Alberni-Clayoquot,2008," 10,220",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3969,24025,Gold River,2008,"  1,409",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3978,24029,Zeballos,2008,    171,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3987,24030,Tahsis,2008,    350,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
3996,24034,Campbell River,2008," 31,245",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4005,24039,Sayward,2008,    340,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4014,24999,Unincorporated Areas - Strathcona,2008," 10,394",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4023,26005,Comox,2008," 13,097",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4032,26010,Courtenay,2008," 23,858",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4041,26014,Cumberland,2008,"  3,120",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4050,26999,Unincorporated Areas - Comox Valley,2008," 22,801",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4059,27008,Powell River,2008," 13,459",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4068,27806,Sechelt Ind Gov Dist (Part-Powell River),2008,     21,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4077,27999,Unincorporated Areas - Powell River,2008,"  6,823",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4086,29005,Gibsons,2008,"  4,329",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4095,29011,Sechelt District Municipality,2008,"  9,107",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4104,29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2008,    903,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4113,29999,Unincorporated Areas - Sunshine Coast,2008," 14,609",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4122,3004,Creston,2008,"  5,161",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4131,3011,Salmo,2008,"  1,122",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4140,3015,Nelson,2008,"  9,992",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4149,3019,Slocan,2008,    300,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4158,3023,Kaslo,2008,"  1,096",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4167,3027,Silverton,2008,    195,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4176,3032,New Denver,2008,    525,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4185,3045,Castlegar,2008,"  7,619",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4194,3050,Nakusp,2008,"  1,583",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4203,31006,Squamish,2008," 16,696",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4212,31012,Pemberton,2008,"  2,466",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4221,31020,Whistler,2008,"  9,612",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4230,31026,Lillooet,2008,"  2,473",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4239,31999,Unincorporated Areas - Squamish-Lillooet,2008,"  6,811",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4248,33006,Merritt,2008,"  7,355",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4257,33015,Lytton,2008,    244,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4266,33019,Ashcroft,2008,"  1,700",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4275,33024,Cache Creek,2008,"  1,081",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4284,33028,Clinton,2008,    639,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4293,33035,Logan Lake,2008,"  2,185",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4302,33042,Kamloops,2008," 85,949",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4311,33045,Sun Peaks Mountain,2008,    428,BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4320,33054,Chase,2008,"  2,510",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4329,33067,Clearwater,2008,"  2,358",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4338,33074,Barriere,2008,"  1,629",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
4347,33999,Unincorporated Areas - Thompson-Nicola,2008," 23,812",BIOMASS,8.8825788,TOTAL DEMAND,OIL,461.5127
