,Region,Municipality,Year,Total,source_x,value_x,sector,source_y,value_y
522,23999,Unincorporated Areas - Alberni-Clayoquot,2006," 10,229",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
531,24025,Gold River,2006,"  1,389",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
540,24029,Zeballos,2006,    201,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
549,24030,Tahsis,2006,    375,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
558,24034,Campbell River,2006," 30,422",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
567,24039,Sayward,2006,    358,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
576,24999,Unincorporated Areas - Strathcona,2006," 10,507",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
585,26005,Comox,2006," 12,665",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
594,26010,Courtenay,2006," 22,791",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
603,26014,Cumberland,2006,"  2,842",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
612,26999,Unincorporated Areas - Comox Valley,2006," 22,658",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
621,27008,Powell River,2006," 13,231",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
630,27806,Sechelt Ind Gov Dist (Part-Powell River),2006,     14,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
639,27999,Unincorporated Areas - Powell River,2006,"  6,773",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
648,29005,Gibsons,2006,"  4,252",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
657,29011,Sechelt District Municipality,2006,"  8,602",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
666,29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2006,    846,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
675,29999,Unincorporated Areas - Sunshine Coast,2006," 14,612",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
684,3004,Creston,2006,"  4,908",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
693,3011,Salmo,2006,"  1,042",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
702,3015,Nelson,2006,"  9,540",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
711,3019,Slocan,2006,    321,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
720,3023,Kaslo,2006,"  1,090",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
729,3027,Silverton,2006,    194,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
738,3032,New Denver,2006,    523,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
747,3045,Castlegar,2006,"  7,466",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
756,3050,Nakusp,2006,"  1,564",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
765,31006,Squamish,2006," 15,392",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
774,31012,Pemberton,2006,"  2,366",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
783,31020,Whistler,2006,"  9,723",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
792,31026,Lillooet,2006,"  2,336",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
801,31999,Unincorporated Areas - Squamish-Lillooet,2006,"  6,653",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
810,33006,Merritt,2006,"  7,184",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
819,33015,Lytton,2006,    247,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
828,33019,Ashcroft,2006,"  1,682",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
837,33024,Cache Creek,2006,"  1,061",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
846,33028,Clinton,2006,    605,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
855,33035,Logan Lake,2006,"  2,204",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
864,33042,Kamloops,2006," 82,873",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
873,33045,Sun Peaks Mountain,2006,    436,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
882,33054,Chase,2006,"  2,449",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
891,33067,Clearwater,2006,"  2,276",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
900,33074,Barriere,2006,"  1,465",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
909,33999,Unincorporated Areas - Thompson-Nicola,2006," 23,312",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
918,35010,Kelowna,2006,"110,363",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
927,35016,Lake Country,2006,"  9,895",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
936,35018,Peachland,2006,"  4,974",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
945,35029,West Kelowna,2006," 28,001",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
954,35999,Unincorporated Areas - Central Okanagan,2006," 13,879",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
963,37005,Lumby,2006,"  1,681",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
972,37010,Coldstream,2006,"  9,695",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
981,37014,Vernon,2006," 36,972",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
990,37024,Spallumcheen,2006,"  5,061",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
999,37028,Armstrong,2006,"  4,368",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1008,37033,Enderby,2006,"  2,895",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1017,37999,Unincorporated Areas - North Okanagan,2006," 18,578",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1026,39007,Golden,2006,"  3,921",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1035,39019,Revelstoke,2006,"  7,438",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1044,39032,Salmon Arm,2006," 16,419",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1053,39045,Sicamous,2006,"  2,721",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1062,3999,Unincorporated Areas - Central Kootenay,2006," 30,556",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1071,39999,Unincorporated Areas - Columbia-Shuswap,2006," 20,847",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1080,41005,One Hundred Mile House,2006,"  1,933",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1089,41009,Williams Lake,2006," 11,112",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1098,41013,Quesnel,2006,"  9,600",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1107,41025,Wells,2006,    251,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1116,41999,Unincorporated Areas - Cariboo,2006," 40,976",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1125,43008,Alert Bay,2006,    371,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1134,43012,Port McNeill,2006,"  2,714",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1143,43017,Port Alice,2006,    838,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1152,43023,Port Hardy,2006,"  3,914",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1161,43999,Unincorporated Areas - Mount Waddington,2006,"  4,107",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1170,45999,Unincorporated Areas - Central Coast,2006,"  3,273",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1179,47007,Port Edward,2006,    592,BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
1188,47012,Prince Rupert,2006," 13,149",BIOMASS,10.6153344,TOTAL DEMAND,OIL,457.0888
